productId,name,template_serial_number,dimensions,description,final_price,category
1,S - 821,,26 x 10 mm,,,
1,S - 822 ALMOHADILLA,,38 x 14 mm,,,
1,S - 822 SELLO,,38 x 14 mm,,,
1,S - 823,,47 x 18 mm,,,
1,S - 824,,58 x 22 mm,,,
1,S - 825,,70 x 25 mm,,,
1,S - 826,,41 x 24 mm,,,
1,S - 827,,50 x 30 mm,,,
1,S - 828,,56 x 33 mm,,,
1,S - 829,,64 x 40 mm,,,
1,S - 830,,75 x 38 mm,,,
1,S - 831,,70 x 10 mm,,,
1,S - 832,,75 x 15 mm,,,
1,S - 833,,82 x 25 mm,,,
1,S - 834,,65 x 30 mm,,,
1,S - 835,,30 x 20 mm,,,
1,S - 836,,45 x 30 mm,,,
1,S - 837,,50 x 40 mm,,,
1,S - 841,,26 x 10 mm,NUEVO,,
1,S - 841L,,30 x 10 mm,NUEVO,,
1,S - 842,,38 x 14 mm,NUEVO,,
1,S - 843,,47 x 18 mm,NUEVO,,
1,S - 844,,58 x 22 mm,NUEVO,,
1,S - 845,,70 x 25 mm,NUEVO,,
1,S - 846,,65 x 27 mm,NUEVO,,
1,S - 308,,45 x 10 mm,,,
1,S - 310,,52 x 13 mm,,,
1,S - 510,,12 x 12 mm,,,
1,S - 520,,20 x 20 mm,,,
1,S - 524,,24 x 24 mm,,,
1,S - 530,,32 x 32 mm,,,
1,S - 542,,42 x 42 mm,,,
1,S - 1822,,38 x 14 mm,PREMIUM,,
1,S - 1823,,47 x 18 mm,PREMIUM,,
1,S - 1824,,58 x 22 mm,PREMIUM,,
1,S - 1825,,70 x 25 mm,PREMIUM,,
,,,,,,
2,SN - 822,,38 x 14 mm,,,
2,SN - 823,,47 x 18 mm,,,
2,SN - 824,,58 x 22 mm,,,
,,,,,,
3,SO - 3045,,30 x 45,,,
3,SO - 3555,,35 x 55,,,
3,SO - 3045,,30 x 45,FECHADOR,,
3,SO - 3555 D,,35 x 55,FECHADOR,,
,,,,,,
4,S - 826 D,,41 x 24 mm,,,
4,S - 827 D,,50 x 30 mm,,,
4,S - 828 D,,56 x 33 mm,,,
4,S - 829 D,,64 x 40 mm,,,
4,S - 830 D,,75 x 38 mm,,,
4,S - 830 DD,,75 x 38 mm,,,
4,S - 830 DN,,75 x 38 mm,FECHA Y NUMERADOR,,
4,S - 834 D,,65 x 30 mm,,,
4,S - 835 D,,30 x 20 mm,,,
4,S - 836 D,,45 x 30 mm,,,
4,S - 837 D,,50 x 40 mm,,,
4,S - 524 D,,24 x 24 mm,,,
4,S - 530 D,,32 x 32 mm,,,
4,S - 542 D,,42 x 42 mm,,,
,,,,,,
5,R - 512,,12 mm,,,
5,R - 517,,17 mm,,,
5,R - 524,,24 mm,,,
5,R - 532,,32 mm,,,
5,R - 538,,38 mm,,,
5,R - 542,,42 mm,,,
5,R - 552,,52 mm,,,
,,,,,,
6,R -  524 D,,24 mm,,,
6,R - 532 D,,32 mm,,,
6,R - 538 D,,38 mm,,,
6,R - 542 D,,42 mm,,,
6,R - 542 D-T,,41 mm,24 hrs,,
6,R - 552 D,,52 mm,,,
6,R - 546 D,,,,,
,,,,,,
7,S - 401 ES,,,,,
7,S - 300,,,MINI FECHA,,
7,S -301,,,CON 4 TE x TOS,,
7,S -303,,,CON 4 TE x TOS,,
7,S - 400,,,,,
7,S - 409,,4 mm,CON 6 BANDAS,,
7,S - 449,,4 mm,CON 9 BANDAS,,
7,S - 401,,,CON PAGADO,,
7,S - 402,,,CON RECIBIDO,,
7,S - 310 A,,49  x  5 mm,DOBLE FECHA CON PLACA,,
7,S - 310 B,,,FECHADOR NUMERADOR C/PLACA,,
7,S - 310 C,,,NUMERADOR CON 13 BANDAS C/PLACA,,
7,S - 311,,,DOBLE FECHA,,
7,S - 312,,,CON 12 LEYENDAS,,
7,S - 313,,,NUMERADOR CON 13 BANDAS AUTOENT,,
7,S - 314,,25  x  10 mm,CON PLACA,,
,,,,,,
8,SQ12,,12 mm,,,
8,SQ17,,17 mm,,,
8,SQ24,,24 mm,,,
8,SQ32,,32 mm,,,
8,SQ42,,42 mm,,,
8,S - 722,,38 x 14 mm,,,
8,S-  723,,47 x 18 mm,,,
8,S - 724 - 7,,25 x 58 mm,,,
,,,,,,
9,H 6103,,50  x  30 mm,,,
9,H 6105,,45  x  45 mm,,,
9,H 6106,,56  x  33 mm,,,
9,H 6107,,60  x  40 mm,,,
9,H 6108,,68  x  47 mm,,,
9,H 6416,,4 mm,16 BANDAS METALICO,,
9,H 6446 / PL,,5 mm,NUMERADOR C/PLACA,,
9,H 6510 / PL,,5 mm,NUMERADOR C/PLACA 10,,
,,,,,,
10,E-900,,41 x 24 mm,,,
10,E-905,,45 x 45 mm,,,
10,E -907,,60 x 40 mm,,,
10,E -908,,68 x 47 mm,TARJETERO 6,,
,,,,,,
11,E - 913,,50 X 30 mm,,,
11,E - 915,,45 X 45 mm,,,
11,E - 916,,56 X 33 mm,,,
11,E- 917,,60 X 40 mm,,,
11,E - 918,,68 X 47 mm,,,
11,E - 918 / DR,,68 X 47 mm,FECHA A LA DERECHA,,
11,E - 918,,68 X 47 mm,FECHADOR y NUM.,,
11,E - 946/PL,,,6 BANDAS CON PLACA,,
11,E - 958,,5 mm,8 BANDAS,,
11,E - 9510,,5 mm,10 BANDAS,,
11,E - 9510 PL,,5 mm,10 BANDAS,,
,,,,,,
12,SE - 3914,,39 X 14 mm,,,
12,SE - 4425,,44 X 25 mm,,,
12,SE - 5020,,50 X 20 mm,,,
12,SE - 6035,,60 X 35 mm,,,
12,SE - 6322,,63 x 22 mm,,,
12,SE - 7030,,70 X 30 mm,,,
12,SE - 0033,,33 mm,,,
12,SE - 0043,,43 mm,,,
12,EL42,,42 mm,,,
,,,,,,
13,SP - 006,,39 X 14 mm,,,
13,SP - 201,,39 X 14 mm,,,
13,SP - 202,,39 X 14 mm,,,
13,SP - 125,,39 X 14 mm,,,
13,SP - 114,,39 X 14 mm,,,
,,,,,,
14,HS-004,,,,,
14,HS-005,,,,,
14,HS-008,,,,,
14,HS-009,,,,,
14,HS-013,,,,,
14,HS-014,,,,,
,,,,,,
15,S -772,,38x14mm,TIPO 3.5 mm,,
15,S -773,,47x18mm,TIPO 3.5 mm,,
15,S -200,,,TIPO 4 y 5 mm PRINTING KIT,,
15,S -600,,,"CON TIPO 3, 4 Y 5mm",,
15,S -800,,47X18 mm,4 LINEAS,,
15,S -882,,38 X 14 mm,,,
15,S -884,,58 X 22 mm,,,
15,S - 887D,,50 X 33 mm,,,
15,S - 889D,,64 X 40 mm,,,
,,,,,,
16,S - 623,,3 mm,SET DE LETRAS,,
16,S - 624,,4 mm,SET DE LETRAS,,
16,S - 625,,5 mm,SET DE LETRAS,,
16,S - 626,,6 mm,SET DE LETRAS,,
16,S - 627,,7 mm,SET DE LETRAS,,
,,,,,,
17,S - 3200-2,,41 mm,,,
17,S - 3600-3,,40 X 55 mm,,,
17,S - 3600-5,,50 X 70 mm,,,
17,S - 3600-6,,51 mm,,,
17,S - 3600-7,,51 X 51 mm,,,
17,S - 3624,,,CON RELOJ 24 HRS.,,
,,,,,,
18,FECHADOR D - 5,,3 mm,,,
