id,name,price
1,SHINY SELLOS PRINTER,
2,SHINY APARATOS OVALADOS,
3,SHINY APARATOS CON FECHA,
4,SHINY APARATOS REDONDOS,
5,SHINY APARATOS REDONDOS CON FECHA,
6,SHINY FECHADORES,
7,SHINY POCKET,
8,SHINY CUERPOS ROBUSTOS METALICO,
9,SHINY CUERPOS ROBUSTOS METALICO FECHADOR,
10,SHINY CUERPO ROBUSTO,
11,SHINY CUERPO ROBUSTO CON FECHA,
12,SHINY SELLOS PRE-ENTINTADOS LINEA EMINENT,
13,SHINY SELLOS PRE-ENTINTADOS EMINENT CON LEYENDA,
14,SHINY CON FIGURAS,
15,SHINY MINI IMPRENTAS,
16,SHINY CAJITA CON LETRAS,
17,SHINY FECHADORES CON PLACA 3200,
18,SHINY FECHADORES LINEALES,
19,SHINY NUMERADORES DE BANDAS,
20,SHINY NUMERADOR DE BANDAS,
21,SHINY FECHADORES CON GOMA,
22,SHINY COJIN PARA HUELLAS,
23,SHINY TINTAS PARA SELLOS,
24,SHINY COJINES DE REPUESTO SELLOS PRINTER,
25,SHINY COJINES DE REPUESTO SELLOS PRINTER,
26,SHINY COJIN DE REPUESTO,
27,SHINY COJIN PARA SELLOS,
28,SHINY GOMA LASER,
29,Trodat,
